"Date,""Tem"""
  01-01-2021,2.8
  01-01-2021,1.7
  01-01-2021,2.3
  03-01-2021,2.3
  03-01-2021,2.0
  03-01-2021,1.6
  05-01-2021,3.1
  09-01-2021,2.3
  13-01-2021,1.5
  14-01-2021,1.7
  17-01-2021,2.3
  18-01-2021,1.7
  18-01-2021,1.6
  19-01-2021,2.2
  21-01-2021,2.5
  21-01-2021,2.6
  22-01-2021,2.2
  22-01-2021,3.0
  24-01-2021,1.9
  27-01-2021,2.0
  30-01-2021,1.9
  30-01-2021,2.1
  31-01-2021,2.1
  31-01-2021,2.1
  04-02-2021,2.3
  05-02-2021,1.6
  05-02-2021,1.6
  16-02-2021,2.2
  16-02-2021,1.9
  17-02-2021,1.8
  25-02-2021,2.6
  25-02-2021,1.9
  01-03-2021,1.7
  02-03-2021,2.0
  03-03-2021,1.7
  03-03-2021,1.7
  03-03-2021,1.9
  05-03-2021,1.8
  05-03-2021,2.3
  07-03-2021,1.9
  11-03-2021,1.9
  12-03-2021,2.6
  12-03-2021,2.4
  14-03-2021,3.4
  14-03-2021,2.5
  15-03-2021,1.8
  15-03-2021,1.8
  15-03-2021,1.8
  16-03-2021,3.1
  17-03-2021,1.3
  17-03-2021,1.8
  18-03-2021,1.5
  21-03-2021,1.9
  25-03-2021,1.3
  26-03-2021,1.6
  28-03-2021,2.1
  30-03-2021,1.4
  30-03-2021,2.3
  31-03-2021,1.5
  01-04-2021,2.1
  01-04-2021,2.5
  01-04-2021,1.7
  02-04-2021,1.7
  02-04-2021,1.4
  03-04-2021,2.7
  03-04-2021,2.3
  04-04-2021,2.2
  04-04-2021,1.5
  04-04-2021,1.5
  04-04-2021,1.4
  04-04-2021,1.7
  04-04-2021,1.7
  04-04-2021,2.5
  04-04-2021,1.7
  05-04-2021,1.8
  06-04-2021,2.5
  07-04-2021,1.6
  08-04-2021,1.9
  08-04-2021,1.5
  09-04-2021,1.4
  09-04-2021,2.1
  11-04-2021,1.8
  12-04-2021,1.9
  15-04-2021,2.4
  19-04-2021,1.6
  21-04-2021,2.1
  22-04-2021,1.9
  01-05-2021,3.2
  01-05-2021,1.8
  01-05-2021,1.4
  03-05-2021,1.8
  06-05-2021,1.4
  07-05-2021,1.8
  10-05-2021,2.1
  10-05-2021,2.0
  11-05-2021,2.6
  12-05-2021,1.8
  13-05-2021,2.0
  13-05-2021,2.8
  13-05-2021,2.8
  14-05-2021,3.4
  14-05-2021,2.3
  14-05-2021,1.7
  14-05-2021,1.9
  14-05-2021,2.3
  15-05-2021,2.0
  15-05-2021,1.6
  15-05-2021,2.0
  15-05-2021,2.2
  15-05-2021,1.6
  15-05-2021,1.7
  15-05-2021,1.9
  15-05-2021,1.9
  15-05-2021,3.4
  15-05-2021,2.0
  15-05-2021,1.7
  16-05-2021,2.0
  16-05-2021,1.9
  16-05-2021,1.7
  16-05-2021,2.2
  16-05-2021,1.9
  16-05-2021,1.6
  16-05-2021,2.0
  16-05-2021,2.7
  16-05-2021,1.6
  16-05-2021,2.5
  17-05-2021,1.8
  17-05-2021,1.8
  17-05-2021,1.7
  17-05-2021,1.8
  17-05-2021,2.0
  18-05-2021,1.6
  18-05-2021,3.3
  18-05-2021,2.5
  18-05-2021,1.9
  18-05-2021,1.6
  18-05-2021,1.9
  18-05-2021,1.7
  18-05-2021,1.3
  18-05-2021,3.2
  18-05-2021,1.9
  18-05-2021,2.3
  18-05-2021,1.8
  19-05-2021,1.4
  19-05-2021,1.6
  19-05-2021,2.5
  19-05-2021,1.4
  19-05-2021,2.3
  19-05-2021,1.8
  19-05-2021,1.5
  19-05-2021,2.3
  19-05-2021,1.7
  19-05-2021,1.5
  19-05-2021,1.5
  19-05-2021,1.8
  19-05-2021,2.2
  19-05-2021,1.6
  19-05-2021,1.8
  19-05-2021,3.4
  19-05-2021,2.4
  19-05-2021,1.5
  19-05-2021,2.5
  19-05-2021,2.0
  19-05-2021,1.9
  19-05-2021,2.6
  19-05-2021,1.4
  19-05-2021,1.5
  20-05-2021,1.4
  20-05-2021,1.6
  20-05-2021,1.6
  20-05-2021,1.7
  20-05-2021,1.9
  20-05-2021,1.9
  20-05-2021,1.6
  20-05-2021,3.6
  20-05-2021,2.2
  20-05-2021,2.3
  20-05-2021,1.8
  20-05-2021,1.6
  20-05-2021,1.7
  20-05-2021,2.3
  20-05-2021,2.0
  20-05-2021,1.5
  20-05-2021,2.5
  21-05-2021,1.8
  21-05-2021,1.4
  21-05-2021,2.9
  21-05-2021,1.6
  21-05-2021,1.8
  21-05-2021,1.9
  21-05-2021,1.9
  21-05-2021,2.4
  21-05-2021,1.8
  21-05-2021,1.6
  21-05-2021,1.6
  22-05-2021,1.4
  22-05-2021,2.4
  22-05-2021,2.0
  22-05-2021,1.8
  23-05-2021,1.8
  23-05-2021,2.4
  24-05-2021,1.2
  24-05-2021,1.1
